Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,4,Corrientes,34038.0,80283.0,26752.0,9082.0,5298.0,155449,4.0,51.64,13.6
2022,4,Entre Ríos,55507.0,135746.0,40798.0,26414.0,12509.0,270952,22.0,64.01,19.14
2022,4,Formosa,13735.0,17068.0,13118.0,17692.0,227.0,61840,0.0,39.41,10.03
2022,4,Jujuy,17880.0,52390.0,42626.0,4067.0,1255.0,118218,0.0,58.46,14.95
2022,4,La Pampa,7785.0,60566.0,24552.0,19995.0,1266.0,113993,171.0,94.8,31.23
2022,4,La Rioja,6120.0,54387.0,19328.0,6395.0,32.0,86258,4.0,79.86,21.26
2022,4,Mendoza,37655.0,77814.0,147080.0,27607.0,1948.0,291327,777.0,51.36,14.33
2022,4,Misiones,33204.0,87202.0,46885.0,11075.0,7903.0,186269,0.0,52.85,14.39
2022,4,Neuquén,28609.0,72679.0,31567.0,23815.0,3510.0,159712,468.0,78.67,23.41
2022,4,Río Negro,34043.0,48401.0,43958.0,16277.0,19413.0,161544,548.0,68.42,21.04
2022,4,Salta,36939.0,97023.0,53470.0,11884.0,6544.0,205855,5.0,57.96,14.04
2022,4,San Juan,38570.0,22913.0,12491.0,21912.0,7940.0,103545,281.0,50.88,12.96
2022,4,San Luis,6283.0,43460.0,3409.0,81557.0,511.0,135028,192.0,90.27,25.83
2022,4,Santa Cruz,9702.0,23876.0,12217.0,3746.0,662.0,50005,198.0,43.53,12.95
2022,4,Santa Fe,163621.0,412157.0,248558.0,44113.0,19242.0,887581,110.0,78.4,24.65
2022,4,Santiago Del Estero,13577.0,80955.0,15117.0,6911.0,2934.0,119492,2.0,48.05,11.92
2022,4,Tierra Del Fuego,12754.0,41293.0,405.0,157.0,651.0,54948,312.0,101.44,30.07
2022,4,Tucumán,69441.0,20668.0,168717.0,4069.0,527.0,263392,30.0,61.04,15.12
2022,3,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,70416.0,4715469,6199.0,78.11,26.37
2022,3,Capital Federal,140791.0,1240125.0,129218.0,5758.0,31787.0,1545534,2145.0,122.28,50.22
2022,3,Catamarca,10010.0,10495.0,46224.0,1329.0,2235.0,70292,1.0,65.33,16.62
2022,3,Chaco,27164.0,61800.0,44645.0,8178.0,2359.0,144141,5.0,43.86,11.72
2022,3,Chubut,45377.0,72212.0,9574.0,29784.0,8831.0,164874,904.0,84.38,25.86
2022,3,Córdoba,163770.0,465461.0,338570.0,61070.0,9797.0,1038600,68.0,88.31,27.04
2022,3,Corrientes,36508.0,77140.0,18619.0,7256.0,5323.0,144842,4.0,48.21,12.69
2022,3,Entre Ríos,60345.0,132952.0,36971.0,26098.0,12593.0,268937,22.0,63.67,19.04
2022,3,Formosa,14470.0,25880.0,11041.0,16935.0,212.0,68537,1.0,43.76,11.14
2022,3,Jujuy,19257.0,52978.0,40172.0,4033.0,2383.0,118823,0.0,58.91,15.06
2022,3,La Pampa,7796.0,60078.0,23551.0,20216.0,4451.0,115921,171.0,96.59,31.82
2022,3,La Rioja,6842.0,53899.0,19697.0,6395.0,31.0,86860,4.0,80.66,21.47
2022,3,Mendoza,37659.0,78858.0,142615.0,27625.0,2766.0,288746,777.0,51.03,14.24
2022,3,Misiones,35513.0,88902.0,39046.0,11074.0,7622.0,182157,0.0,51.82,14.11
